match_id,player,opponent,season,match_result,indoors,total_points_won,winners,forehand_winner,backhand_winner,errors_forced,unforced_errors,unforced_errors_forehand,unforced_errors_backhand,forced_errors_by_opponent,break_points_total,break_points_won,aces,double_faults,total_serves,first_serves_in,first_serve_in_percentage,first_serves_won,first_serves_won_percentage,total_second_serves,second_serves_in,second_serves_in_percentage,second_serves_won,second_serves_won_percentage,first_serve_returns,first_serve_returns_percentage,second_serve_returns,second_serve_returns_percentage,short_rallies_won,short_rallies_won_percentage,medium_rallies_won,medium_rallies_won_percentage,long_rallies_won,long_rallies_won_percentage,service_games_total,service_games_won,service_games_won_percentage,unforced_errors_net,unforced_errors_long,forced_errors_by_opponent_net,forced_errors_by_opponent_long,double_faults_error_net,double_faults_error_long,aggressive_error_margin_1,aggressive_error_margin_2,first_serve_performance
5e24b0271b0000340e48c295,Lana Mavor,Scott,20,Win,True,56,12,3,4,4,30,13,16,4,10,5,0,0,47,35,0.74,22,0.63,12,12,1.0,8,0.67,25,0.66,10,0.91,32,0.5,14,0.64,10,0.77,5,5,1.0,13,17,1,3,0,0,-14,-14,16.38
5e2b29c41800001f7e6eb544,Lana Mavor,Zaccarias,20,Incomplete,True,42,10,1,4,3,23,10,13,2,8,3,0,4,44,31,0.7,17,0.55,13,10,0.77,7,0.54,21,0.95,11,1.0,27,0.54,11,0.55,4,0.44,5,4,0.8,12,11,0,2,3,1,-10,-13,11.98
5e2b2f02180000b77e6eb54d,Lana Mavor,Rettich,20,Win,True,71,15,3,9,7,20,9,11,13,12,7,1,2,65,44,0.68,27,0.61,21,19,0.9,8,0.38,29,0.81,22,0.92,41,0.51,22,0.67,8,0.57,6,5,0.83,9,11,9,4,0,2,2,1,18.28
5e3781f11e0000831de05812,Lana Mavor,Ribes,20,Loss,True,46,8,3,3,4,32,18,13,5,7,2,2,3,57,38,0.67,24,0.63,19,16,0.84,3,0.16,29,0.78,12,1.0,34,0.47,8,0.38,4,0.27,5,3,0.6,17,15,3,2,1,2,-20,-21,16.0
5e5d9d001e0000d0809b3743,Lana Mavor,Gullickson,20,Loss,False,32,1,0,0,0,38,10,28,2,4,2,0,1,43,28,0.65,10,0.36,15,14,0.93,5,0.33,19,0.86,14,0.88,18,0.39,9,0.45,5,0.26,4,0,0.0,11,27,2,0,0,1,-37,-38,6.51
6014330c420000dd575aebad,Lana Mavor,Delozire,21,Incomplete,True,37,9,6,2,7,13,3,9,2,7,4,0,1,29,16,0.55,12,0.75,13,12,0.92,8,0.62,16,0.8,5,1.0,24,0.67,7,0.58,6,1.0,5,5,1.0,4,9,2,0,0,1,3,2,6.62
6018328d420000d3d95aec2e,Lana Mavor,Poggi,21,Win,True,53,12,4,5,0,19,6,12,0,10,5,2,2,33,25,0.76,23,0.92,8,6,0.75,5,0.62,29,1.0,12,1.0,37,0.71,15,0.75,1,0.33,7,7,1.0,3,16,0,0,1,1,-7,-7,17.42
5e21fd2d21000021540175c1,Lexi Keberle,Larri,20,Win,False,51,11,8,0,1,29,11,16,0,8,5,2,0,45,34,0.76,22,0.65,11,11,1.0,6,0.55,19,0.7,17,1.0,26,0.58,13,0.62,12,0.5,8,7,0.88,11,18,0,0,0,0,-17,-15,16.62
5e21f67b2100007b530175be,Lexi Keberle,Dillon,20,Win,False,59,12,8,2,7,19,6,13,2,10,5,0,0,43,27,0.63,18,0.67,16,16,1.0,12,0.75,27,0.9,10,0.83,36,0.69,14,0.74,9,0.53,8,7,0.88,7,12,1,1,0,0,0,0,11.3
5e2c5fe9180000b0b96eb57b,Lexi Keberle,Smirnova,20,Win,False,48,2,1,0,7,4,2,2,10,8,6,0,0,37,23,0.62,13,0.57,14,14,1.0,11,0.79,18,0.82,14,0.93,37,0.66,9,0.6,2,0.33,3,3,1.0,1,3,6,4,0,0,5,5,8.08
5e2c63751800006dba6eb581,Lexi Keberle,Kezuka,20,Win,False,62,12,8,3,14,15,11,3,7,9,7,0,1,52,42,0.81,25,0.6,10,9,0.9,4,0.4,33,0.89,10,0.83,28,0.52,25,0.71,9,0.56,9,5,0.56,6,9,2,5,0,1,11,10,20.19
5e361e911a0000c3e91ba499,Lexi Keberle,Zein,20,Incomplete,False,59,5,2,1,2,40,24,14,2,8,5,0,2,63,45,0.71,24,0.53,18,16,0.89,7,0.39,30,0.86,19,0.79,29,0.43,20,0.61,10,0.4,5,4,0.8,14,26,2,0,2,0,-33,-35,17.14
5e37818f1e00007d1de05811,Lexi Keberle,Karvouni,20,Win,True,57,21,16,2,2,15,10,3,1,6,4,0,2,48,28,0.58,24,0.86,20,18,0.9,11,0.55,30,0.97,9,1.0,22,0.65,16,0.55,19,0.73,9,8,0.89,5,10,0,1,1,1,8,6,14.0
5e5ae2281b00001be53e656e,Lexi Keberle,Anna Campana,20,Loss,False,29,3,2,1,1,25,12,13,7,4,2,0,2,43,35,0.81,14,0.4,8,6,0.75,1,0.12,24,0.83,9,0.9,20,0.43,5,0.26,4,0.24,4,1,0.25,10,15,4,3,2,0,-21,-23,11.4
5e5d9d3e1e000011819b3744,Lexi Keberle,Munera,20,Loss,False,35,4,1,1,7,27,12,15,9,7,2,0,1,46,30,0.65,11,0.37,16,15,0.94,7,0.44,24,0.77,8,0.89,17,0.41,9,0.39,9,0.36,8,2,0.25,10,17,5,4,0,1,-16,-17,7.17
